Rank,Player,Team,Goals
1,Miloš Milutinović,Partizan,8
2,Léon Glovacki,Reims,6
2,Péter Palotás,Vörös Lobogó,6
4,René Bliard,Reims,5
4,Alfredo Di Stéfano,Real Madrid,5
4,Héctor Rial,Real Madrid,5
7,Mihály Lantos,Vörös Lobogó,4
7,Michel Leblond,Reims,4
7,Gunnar Nordahl,Milan,4
10,Hippolyte Van den Bosch,Anderlecht,3
10,Giorgio Dal Monte,Milan,3
10,John Eriksson,Djurgården,3
10,Joseíto,Real Madrid,3
10,Alfred Körner,Rapid Wien,3
10,Juan Alberto Schiaffino,Milan,3
10,Eddie Turnbull,Hibernian,3
