Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Steaua București,0–2,Austria Wien,0–0,0–2
1. FC Nürnberg,9–1,Drumcondra,5–0,4–1
Servette,7–1,Hibernians,5–0,2–1
CDNA Sofia,5–6,Dukla Prague,4–4,1–2
IFK Göteborg,2–11,Feyenoord,0–3,2–8
Górnik Zabrze,5–10,Tottenham Hotspur,4–2,1–8
Standard Liège,4–1,Fredrikstad,2–1,2–0
Vorwärts Berlin,3–0,Linfield,3–0,– [a]
Monaco,4–6,Rangers,2–3,2–3
Sporting CP,1–3,Partizan,1–1,0–2
Panathinaikos,2–3,Juventus,1–1,1–2
Spora Luxembourg,2–15,Boldklubben 1913,0–6,2–9
Vasas,1–5,Real Madrid,0–2,1–3
