Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Everton,0–1,Inter Milan,0–0,0–1,
Monaco,8–3,AEK Athens,7–2,1–1,
Valkeakosken Haka,4–5,Jeunesse Esch,4–1,0–4,
Partizan,6–1,Anorthosis Famagusta,3–0,3–1,
Górnik Zabrze,1–1,Austria Wien,1–0,0–1,2–1
Dukla Prague,8–0,Valletta,6–0,2–0,
Distillery,3–8,Benfica,3–3,0–5,
Lyn,3–7,Borussia Dortmund,2–4,1–3,
Dundalk,2–4,Zürich,0–3,2–1,
Galatasaray,4–2,Ferencváros,4–0,0–2,
Partizani,2–3,Spartak Plovdiv,1–0,1–3,
Esbjerg,4–11,PSV Eindhoven,3–4,1–7,
Standard Liège,1–2,IFK Norrköping,1–0,0–2,
Dinamo București,3–0,Motor Jena,2–0,1–0,
Rangers,0–7,Real Madrid,0–1,0–6,
