Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Malmö FF,1–5,Atlético Madrid,0–2,1–3,
Admira-NÖ Energie Wien,0–1,Vojvodina,0–1,0–0,
KR,4–8,Nantes,2–3,2–5,
Celtic,5–0,Zürich,2–0,3–0,
Ajax,4–1,Beşiktaş,2–0,2–1,
Liverpool,3–3,Petrolul Ploiești,2–0,1–3,2–0
Esbjerg,0–6,Dukla Prague,0–2,0–4,
Haka,1–12,Anderlecht,1–10,0–2,
Inter Milan,1–0,Torpedo Moscow,1–0,0–0,
Vasas,7–0,Sporting CP,5–0,2–0,
1860 Munich,10–1,Omonia,8–0,2–1,
Vålerenga,(w/o)[a],17 Nëntori,—,—,
Aris Bonnevoie,4–9,Linfield,3–3,1–6,
CSKA Red Flag,3–2,Olympiacos,3–1,0–1,
Górnik Zabrze,3–3,Vorwärts Berlin,2–1,1–2,3–1
