0,1,2
17 Nëntori (1st),Austria Wien (1st),Standard Liège (1st)
Levski-Spartak (1st),EPA Larnaca (1st),Slovan Bratislava (1st)
Boldklubben 1903 (1st),Everton (1st),KPV (1st)
Saint-Étienne (1st),Carl Zeiss Jena (1st),Borussia Mönchengladbach (1st)
Panathinaikos (1st),Újpesti Dózsa (1st),Keflavík (1st)
Waterford (1st),Cagliari (1st),Jeunesse Esch (1st)
Floriana (1st),Ajax (1st),Feyenoord (2nd)TH
Glentoran (1st),Rosenborg (1st),Legia Warsaw (1st)
Sporting CP (1st),UTA Arad (1st),Celtic (1st)
Atlético Madrid (1st),IFK Göteborg (1st),Basel (1st)
Fenerbahçe (1st),Spartak Moscow (1st),Red Star Belgrade (1st)
