Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Nottingham Forest,3–1,Öster,2–0,1–1
Argeș Pitești,3–2,AEK Athens,3–0,0–2
BFC Dynamo,4–1,Ruch Chorzów,4–1,0–0
Servette,4–2,Beveren,3–1,1–1
Újpesti Dózsa,3–4,Dukla Prague,3–2,0–2
Start,1–6,Strasbourg,1–2,0–4
HJK Helsinki,2–16,Ajax,1–8,1–8
Red Boys Differdange,3–7,Omonia,2–1,1–6
Partizani,2–4,Celtic,1–0,1–4
Dundalk,2–1,Hibernians,2–0,0–1
Porto,1–0,Milan,0–0,1–0
Levski-Spartak,0–3,Real Madrid,0–1,0–2
Valur,1–5,Hamburg,0–3,1–2
Liverpool,2–4,Dinamo Tbilisi,2–1,0–3
Vejle,4–3,Austria Wien,3–2,1–1
Hajduk Split,2–0,Trabzonspor,1–0,1–0
