Rank,Name,Team,Goals,Minutes played
1,Petar Novák,Sparta Prague,4,185
1,René van der Gijp,Neuchâtel Xamax,4,270
1,Rabah Madjer,Porto,4,349
1,Ally McCoist,Rangers,4,435
1,Rui Águas,Benfica,4,597
1,Gheorghe Hagi,Steaua București,4,675
1,Míchel,Real Madrid,4,720
8,Jürgen Wegmann,Bayern Munich,3,179
8,Jean-Marc Ferreri,Bordeaux,3,345
8,Ivan Hašek,Sparta Prague,3,360
8,Zlatko Kranjčar,Rapid Wien,3,360
8,António Sousa,Porto,3,360
8,Zoran Stojadinović,Rapid Wien,3,360
8,Hugo Sánchez,Real Madrid,3,450
8,Patrick Vervoort,Anderlecht,3,495
8,Marius Lăcătuș,Steaua București,3,578
8,Hans Gillhaus,PSV Eindhoven,3,647
