Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Porto,3–2,HJK,3–0,0–2
Górnik Zabrze,7–1,Jeunesse Esch,3–0,4–1
Real Madrid,4–0,Moss,3–0,1–0
Budapesti Honvéd,1–4,Celtic,1–0,0–4
BFC Dynamo,3–5,Werder Bremen,3–0,0–5
Vitosha Sofia,2–7,Milan,0–2,2–5
Dundalk,0–8,Red Star Belgrade,0–5,0–3
Ħamrun Spartans,2–3,17 Nëntori,2–1,0–2
Pezoporikos Larnaca,2–7,IFK Göteborg,1–2,1–5
Sparta Prague,3–7,Steaua București,1–5,2–2
Spartak Moscow,3–1,Glentoran,2–0,1–1
Club Brugge,2–2 (a),Brøndby,1–0,1–2
Valur,1–2,Monaco,1–0,0–2
AEL,3–3 (0–3 p),Neuchâtel Xamax,2–1,1–2
Rapid Wien,2–3,Galatasaray,2–1,0–2
