Second round,Second round.1,Second round.2,Second round.3
Milan (TH),,,
First round,First round,First round,First round
Napoli (1st),Bayern Munich (1st),Real Madrid (1st),Spartak Moscow (1st)
Club Brugge (1st),Porto (1st),Dinamo București (1st),Rangers (1st)
Malmö FF (1st),Marseille (1st),Red Star Belgrade (1st),Swarovski Tirol (1st)
Dynamo Dresden (1st)[Note GDR],Sparta Prague (1st),Újpesti Dózsa (1st),Panathinaikos (1st)
Grasshopper (1st),OB (1st),Kuusysi (1st),Lech Poznań (1st)
CSKA Sofia (1st),Beşiktaş (1st),Dinamo Tirana (1st),Lillestrøm (1st)
Portadown (1st),APOEL (1st),KA (1st),St Patrick's Athletic (1st)
Valletta (1st),Union Luxembourg (1st),,
