Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Barcelona,3–1,Hansa Rostock,3–0,0–1
1. FC Kaiserslautern,3–1,Etar Veliko Tarnovo,2–0,1–1
Union Luxembourg,0–10,Marseille,0–5,0–5
Sparta Prague,2–2 (a),Rangers,1–0,1–2 (a.e.t.)
Hamrun Spartans,0–10,Benfica,0–6,0–4
Arsenal,6–2,Austria Wien,6–1,0–1
HJK,0–4,Dynamo Kyiv,0–1,0–3
Brøndby,4–2,Zagłębie Lubin,3–0,1–2
Fram,2–2 (a),Panathinaikos,2–2,0–0
IFK Göteborg,1–1 (a),Flamurtari,0–0,1–1
Beşiktaş,2–3,PSV Eindhoven,1–1,1–2
Anderlecht,4–1,Grasshopper,1–1,3–0
Red Star Belgrade,8–0,Portadown,4–0,4–0
Universitatea Craiova,2–3,Apollon Limassol,2–0,0–3
Kispest Honvéd,3–1,Dundalk,1–1,2–0
Sampdoria,7–1,Rosenborg,5–0,2–1
