Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
IFK Göteborg,3–2,Beşiktaş,2–0,1–2,
Lech Poznań,2–0,Skonto,2–0,0–0,
Rangers,3–0,Lyngby,2–0,1–0,
VfB Stuttgart,4–5[a],Leeds United,3–0,0–3[a],1–2
Slovan Bratislava,4–1,Ferencváros,4–1,0–0,
Milan,7–0,Olimpija Ljubljana,4–0,3–0,
Kuusysi,1–2,Dinamo București,1–0,0–2 (a.e.t.),
Glentoran,0–8,Marseille,0–5,0–3,
Maccabi Tel Aviv,0–4,Club Brugge,0–1,0–3,
Austria Wien,5–4,CSKA Sofia,3–1,2–3,
Sion,7–2,Tavriya Simferopol,4–1,3–1,
Union Luxembourg,1–9,Porto,1–4,0–5,
AEK Athens,3–3 (a),APOEL,1–1,2–2,
PSV Eindhoven,8–0,Žalgiris,6–0,2–0,
Víkingur Reykjavík,2–5,CSKA Moscow,0–1,2–4,
Barcelona,1–0,Viking,1–0,0–0,
