Rank,Association,Team,Coeff.
First round,First round,First round,First round
3,Spain,Barcelona (1st)TH,2.974
1,France,Marseille (1st),3.116
2,Italy,Milan (1st),3.052
4,Germany,VfB Stuttgart (1st),2.710
5,Belgium,Club Brugge (1st),2.594
6,Portugal,Porto (1st),2.476
7,Netherlands,PSV Eindhoven (1st),2.412
8,Poland,Lech Poznań (1st),2.339
9,Romania,Dinamo București (1st),2.323
10,Scotland,Rangers (1st),2.287
11,Russia,CSKA Moscow (1st),2.116
12,Sweden,IFK Göteborg (1st),2.080
13,Austria,Austria Wien (1st),2.029
14,Switzerland,Sion (1st),1.993
15,Greece,AEK Athens (1st),1.974
16,Czechoslovakia,Slovan Bratislava (1st),1.777
17,Bulgaria,CSKA Sofia (1st),1.687
18,Hungary,Ferencváros (1st),1.618
19,Denmark,Lyngby (1st),1.431
20,Turkey,Beşiktaş (1st),1.375
21,England,Leeds United (1st),1.371
22,Finland,Kuusysi (1st),1.160
23,Northern Ireland,Glentoran (1st),0.833
24,Lithuania,Žalgiris (1st),0.666
25,Iceland,Víkingur Reykjavík (1st),0.468
26,Norway,Viking (1st),0.433
27,Cyprus,APOEL (1st),0.352
28,Luxembourg,Union Luxembourg (1st),0.291
Preliminary round,Preliminary round,Preliminary round,Preliminary round
29,Republic of Ireland,Shelbourne (1st),0.269
30,Malta,Valletta (1st),0.200
31,Faroe Islands,KÍ (1st),0.000
31,Israel,Maccabi Tel Aviv (1st),0.000
31,Estonia,Norma Tallinn (1st),0.000
31,Slovenia,Olimpija Ljubljana (1st),0.000
31,Latvia,Skonto (1st),0.000
31,Ukraine,Tavriya Simferopol (1st),0.000
