Rank,Association,Team,Coeff.
First round,First round,First round,First round
6,France,Monaco (3rd)[Note FRA],2.667
1,Italy,Milan (1st),3.408
2,Spain,Barcelona (1st),2.986
3,England,Manchester United (1st),2.910
4,Germany,Werder Bremen (1st),2.848
5,Belgium,Anderlecht (1st),2.671
7,Portugal,Porto (1st),2.589
8,Russia,Spartak Moscow (1st),2.536
9,Scotland,Rangers (1st),2.504
10,Romania,Steaua București (1st),2.366
11,Netherlands,Feyenoord (1st),2.325
12,Turkey,Galatasaray (1st),2.227
13,Czechoslovakia,Sparta Prague (1st)[Note CZE],2.205
14,Poland,Lech Poznań (1st),2.089
15,Austria,Austria Wien (1st),2.076
16,Denmark,Copenhagen (1st),2.053
17,Greece,AEK Athens (1st),1.994
18,Sweden,AIK (1st),1.954
19,Ukraine,Dynamo Kyiv (1st),1.692
20,Hungary,Kispest Honvéd (1st),1.573
21,Belarus,Dinamo Minsk (1st),1.250
22,Bulgaria,Levski Sofia (1st),1.125
Preliminary round,Preliminary round,Preliminary round,Preliminary round
23,Norway,Rosenborg (1st),0.971
24,Switzerland,Aarau (1st),0.939
25,Finland,HJK (1st),0.855
26,Northern Ireland,Linfield (1st),0.833
27,Croatia,Croatia Zagreb (1st),0.750
28,Iceland,ÍA (1st),0.656
29,Albania,Partizani (1st),0.634
30,Luxembourg,Avenir Beggen (1st),0.633
31,Cyprus,Omonia (1st),0.623
32,Wales,Cwmbrân Town (1st),0.571
33,Malta,Floriana (1st),0.563
34,Republic of Ireland,Cork City (1st),0.500
34,Latvia,Skonto (1st),0.500
36,Faroe Islands,B68 (1st),0.000
36,Israel,Beitar Jerusalem (1st),0.000
36,Georgia,Dinamo Tbilisi (1st),0.000
36,Lithuania,Ekranas (1st),0.000
36,Estonia,Norma Tallinn (1st),0.000
36,Slovenia,Olimpija Ljubljana (1st),0.000
36,Moldova,Zimbru Chișinău (1st),0.000
