Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Group A,Group A,Group A,Group A,Group A
Avenir Beggen,1–9,Galatasaray,1–5,0–4
Sparta Prague,1–2,IFK Göteborg,1–0,0–2
Group B,Group B,Group B,Group B,Group B
Silkeborg,1–3,Dynamo Kyiv,0–0,1–3
Paris Saint-Germain,5–1,Vác Samsung,3–0,2–1
Group C,Group C,Group C,Group C,Group C
Legia Warsaw,0–5,Hajduk Split,0–1,0–4
Steaua București,5–2,Servette,4–1,1–1
Group D,Group D,Group D,Group D,Group D
AEK Athens,3–0,Rangers,2–0,1–0
Maccabi Haifa,2–5,Casino Salzburg,1–2,1–3
