Rank,Association,Team,Coeff.
Group stage,Group stage,Group stage,Group stage
1,Italy,Milan (1st)TH,1.861
2,Netherlands,Ajax (1st),1.642
3,England,Manchester United (1st),1.631
4,Germany,Bayern Munich (1st),1.625
5,Spain,Barcelona (1st),1.575
6,Portugal,Benfica (1st),1.567
7,Russia,Spartak Moscow (1st),1.470
8,Belgium,Anderlecht (1st),1.441
Qualifying round,Qualifying round,Qualifying round,Qualifying round
9,France,Paris Saint-Germain (1st),1.426
10,Scotland,Rangers (1st),1.400
10,Poland,Legia Warsaw (1st),1.400
12,Austria,Casino Salzburg (1st),1.214
13,Sweden,IFK Göteborg (1st),1.187
14,Ukraine,Dynamo Kyiv (1st),1.178
15,Turkey,Galatasaray (1st),1.125
15,Romania,Steaua București (1st),1.125
17,Czech Republic,Sparta Prague (1st),1.115
18,Greece,AEK Athens (1st),1.000
18,Croatia,Hajduk Split (1st),1.000
18,Israel,Maccabi Haifa (1st),1.000
21,Switzerland,Servette (1st),0.906
22,Hungary,Vác Samsung (1st),0.875
23,Denmark,Silkeborg (1st),0.803
24,Luxembourg,Avenir Beggen (1st),0.750
Entered UEFA Cup preliminary round,Entered UEFA Cup preliminary round,Entered UEFA Cup preliminary round,Entered UEFA Cup preliminary round
25,Norway,Rosenborg (1st),0.700
25,Slovakia,Slovan Bratislava (1st),0.700
27,Bulgaria,Levski Sofia (1st),0.652
28,Cyprus,Apollon Limassol (1st),0.500
28,Belarus,Dinamo Minsk (1st),0.500
28,Iceland,ÍA (1st),0.500
28,Northern Ireland,Linfield (1st),0.500
32,Finland,Jazz (1st),0.475
33,Slovenia,Olimpija Ljubljana (1st),0.400
33,Albania,Teuta (1st),0.400
35,Latvia,Skonto (1st),0.250
36,Republic of Ireland,Shamrock Rovers (1st),0.208
37,Malta,Hibernians (1st),0.166
38,Armenia,Ararat Yerevan (1st),0.000
38,Wales,Bangor City (1st),0.000
38,Georgia,Dinamo Tbilisi (1st),0.000
38,Estonia,Flora (1st),0.000
38,Faroe Islands,GÍ (1st),0.000
38,Lithuania,ROMAR Mažeikiai (1st),0.000
38,Azerbaijan,Turan Tovuz (1st),0.000
38,Macedonia,Vardar (1st),0.000
38,Moldova,Zimbru Chișinău (1st),0.000
