Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Sileks,1–2,Club Brugge,0–0,1–2
ŁKS Łódź,7–2,Kapaz,4–1,3–1
Litex Lovech,3–2,Halmstads BK,2–0,1–2
Grasshopper,8–0,Jeunesse Esch,6–0,2–0
Celtic,2–0,St Patrick's Athletic,0–0,2–0
Kareda,0–4,Maribor,0–3,0–1
Dynamo Kyiv,10–1,Barry Town,8–0,2–1
Cliftonville,1–13,Košice,1–5,0–8
Skonto,2–1,Dinamo Minsk,0–0,2–1
Valletta,0–8,Anorthosis Famagusta,0–2,0–6
Beitar Jerusalem,5–1,B36,4–1,1–0
Dinamo Tbilisi,4–3,Vllaznia,3–0[a],1–3
HJK,5–0,Yerevan,2–0,3–0
Obilić,4–1,ÍBV,2–0,2–1
Zimbru Chișinău,2–3,Újpest,1–0,1–3
Steaua București,5–4,Flora,4–1,1–3
