Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Rosenborg,4–4 (a),Club Brugge,2–0,2–4
Manchester United,2–0,ŁKS Łódź,2–0,0–0
Litex Lovech,2–11,Spartak Moscow,0–5,2–6
Galatasaray,5–3,Grasshopper,2–1,3–2
Celtic,1–3,Croatia Zagreb,1–0,0–3
Maribor,3–5,PSV Eindhoven,2–1,1–4 (a.e.t.)
Dynamo Kyiv,1–1 (3–1 p),Sparta Prague,0–1,1–0 (a.e.t.)
Košice,1–2,Brøndby,0–2,1–0
Internazionale,7–1,Skonto,4–0,3–1
Olympiacos,6–3,Anorthosis Famagusta,2–1,4–2
Benfica,8–4,Beitar Jerusalem,6–0,2–4
Dinamo Tbilisi,2–2 (a),Athletic Bilbao,2–1,0–1
HJK,2–1,Metz,1–0,1–1
Bayern Munich,5–1,Obilić,4–0,1–1
Sturm Graz,7–2,Újpest,4–0,3–2
Steaua București,5–8,Panathinaikos,2–2,3–6
