Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,30 June 1999,13–14 July 1999,21 July 1999
Qualifying,Second qualifying round,30 June 1999,28 July 1999,4 August 1999
Qualifying,Third qualifying round,23 July 1999,10–11 August 1999,25 August 1999
First group stage,Matchday 1,26 August 1999 (Monaco),14–15 September 1999,14–15 September 1999
First group stage,Matchday 2,26 August 1999 (Monaco),21–22 September 1999,21–22 September 1999
First group stage,Matchday 3,26 August 1999 (Monaco),28–29 September 1999,28–29 September 1999
First group stage,Matchday 4,26 August 1999 (Monaco),19–20 October 1999,19–20 October 1999
First group stage,Matchday 5,26 August 1999 (Monaco),26–27 October 1999,26–27 October 1999
First group stage,Matchday 6,26 August 1999 (Monaco),2–3 November 1999,2–3 November 1999
Second group stage,Matchday 1,5 November 1999,23–24 November 1999,23–24 November 1999
Second group stage,Matchday 2,5 November 1999,7–8 December 1999,7–8 December 1999
Second group stage,Matchday 3,5 November 1999,29 February – 1 March 2000,29 February – 1 March 2000
Second group stage,Matchday 4,5 November 1999,7–8 March 2000,7–8 March 2000
Second group stage,Matchday 5,5 November 1999,14–15 March 2000,14–15 March 2000
Second group stage,Matchday 6,5 November 1999,21–22 March 2000,21–22 March 2000
Knockout phase,Quarter-finals,24 March 2000,4–5 April 2000,18–19 April 2000
Knockout phase,Semi-finals,24 March 2000,2–3 May 2000,9–10 May 2000
Knockout phase,Final,24 March 2000,"24 May 2000 at Stade de France, Saint-Denis","24 May 2000 at Stade de France, Saint-Denis"
