Rank,Name,Team,Goals,Minutes played
1,Raúl,Real Madrid,7.0,995.0
2,Marco Simone,Monaco,6.0,505.0
2,Rivaldo,Barcelona,6.0,523.0
2,Giovane Élber,Bayern Munich,6.0,1034.0
2,Paul Scholes,Manchester United,6.0,1042.0
2,Lee Bowyer,Leeds United,6.0,1170.0
2,Iván Helguera,Real Madrid,6.0,1232.0
2,Mário Jardel,Galatasaray,6.0,1240.0
9,Filippo Inzaghi,Juventus,5.0,431.0
9,Claudio López,Lazio,5.0,464.0
9,Frode Johnsen,Rosenborg,5.0,509.0
9,Christian,Paris Saint-Germain,5.0,586.0
9,Walter Pandiani,Deportivo La Coruña,5.0,664.0
9,Teddy Sheringham,Manchester United,5.0,720.0
9,Nicolas Anelka,Paris Saint-Germain,5.0,734.0
9,Juan Sánchez,Valencia,5.0,1018.0
9,Tomasz Radzinski,Anderlecht,5.0,1021.0
9,Andriy Shevchenko,Milan,5.0,1080.0
9,Luís Figo,Real Madrid,5.0,1205.0
9,Mehmet Scholl,Bayern Munich,5.0,1207.0
9,Alan Smith,Leeds United,5.0,1248.0
9,,,,
