Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,22 June 2001 (Geneva),11 July 2001,18 July 2001
Qualifying,Second qualifying round,22 June 2001 (Geneva),24–25 July 2001,31 July – 1 August 2001
Qualifying,Third qualifying round,20 July 2001,7–8 August 2001,21–22 August 2001
First group stage,Matchday 1,23 August 2001 (Monaco),11 September & 10 October 2001[a],11 September & 10 October 2001[a]
First group stage,Matchday 2,23 August 2001 (Monaco),18–19 September 2001,18–19 September 2001
First group stage,Matchday 3,23 August 2001 (Monaco),25–26 September 2001,25–26 September 2001
First group stage,Matchday 4,23 August 2001 (Monaco),16–17 October 2001,16–17 October 2001
First group stage,Matchday 5,23 August 2001 (Monaco),23–24 October 2001,23–24 October 2001
First group stage,Matchday 6,23 August 2001 (Monaco),30–31 October 2001,30–31 October 2001
Second group stage,Matchday 1,2 November 2001 (Geneva),20–21 November 2001,20–21 November 2001
Second group stage,Matchday 2,2 November 2001 (Geneva),4–5 December 2001,4–5 December 2001
Second group stage,Matchday 3,2 November 2001 (Geneva),19–20 February 2002,19–20 February 2002
Second group stage,Matchday 4,2 November 2001 (Geneva),26–27 February 2002,26–27 February 2002
Second group stage,Matchday 5,2 November 2001 (Geneva),12–13 March 2002,12–13 March 2002
Second group stage,Matchday 6,2 November 2001 (Geneva),19–20 March 2002,19–20 March 2002
Knockout phase,Quarter-finals,22 March 2002,2–3 April 2002,9–10 April 2002
Knockout phase,Semi-finals,22 March 2002,23–24 April 2002,30 April – 1 May 2002
Knockout phase,Final,22 March 2002,"15 May 2002 at Hampden Park, Glasgow","15 May 2002 at Hampden Park, Glasgow"
