Group stage,Group stage.1,Group stage.2,Group stage.3
Real Madrid (1st),Bayern Munich (1st)TH,Manchester United (1st),Spartak Moscow (1st)
Deportivo La Coruña (2nd),Schalke 04 (2nd),Arsenal (2nd),Sparta Prague (1st)
Roma (1st),Nantes (1st),PSV Eindhoven (1st),Olympiacos (1st)
Juventus (2nd),Lyon (2nd),Feyenoord (2nd),Boavista (1st)
Third qualifying round,Third qualifying round,Third qualifying round,Third qualifying round
Mallorca (3rd),Bayer Leverkusen (4th),Slavia Prague (2nd),Rosenborg (1st)
Barcelona (4th),Lille (3rd),Panathinaikos (2nd),Grasshopper (1st)
Lazio (3rd),Liverpool (3rd),Fenerbahçe (1st),Celtic (1st)
Parma (4th),Ajax (3rd),Dynamo Kyiv (1st),Tirol Innsbruck (1st)
Borussia Dortmund (3rd),Lokomotiv Moscow (2nd),,
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Porto (2nd),Rangers (2nd),Hajduk Split (1st),Inter Bratislava (1st)
Galatasaray (2nd),Anderlecht (1st),Halmstads BK (1st),Maribor (1st)
Shakhtar Donetsk (2nd),Copenhagen (1st),Ferencváros (1st),Omonia (1st)
Brann (2nd),Wisła Kraków (1st),Maccabi Haifa (1st),Red Star Belgrade (1st)
Lugano (2nd),Steaua București (1st),,
First qualifying round,First qualifying round,First qualifying round,First qualifying round
Levski Sofia (1st),Sheriff Tiraspol (1st),Barry Town (1st),VB (1st)
Torpedo Kutaisi (1st),KR (1st),Araks-Impeks (1st)[Note ARM],F91 Dudelange (1st)
Skonto (1st),Sloga Jugomagnat (1st),Bohemians (1st),Shamkir (1st)
Haka (1st),Kaunas (1st),Valletta (1st),Vllaznia (1st)
Slavia Mozyr (1st),Levadia Maardu (1st),Linfield (1st),Željezničar (1st)
