Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,21 June 2002 (Geneva),17 July 2002,24 July 2002
Qualifying,Second qualifying round,21 June 2002 (Geneva),31 July 2002,7 August 2002
Qualifying,Third qualifying round,26 July 2002,13–14 August 2002,27–28 August 2002
First group stage,Matchday 1,29 August 2002 (Monaco),17–18 September 2002,17–18 September 2002
First group stage,Matchday 2,29 August 2002 (Monaco),24–25 September 2002,24–25 September 2002
First group stage,Matchday 3,29 August 2002 (Monaco),1–2 October 2002,1–2 October 2002
First group stage,Matchday 4,29 August 2002 (Monaco),22–23 October 2002,22–23 October 2002
First group stage,Matchday 5,29 August 2002 (Monaco),29–30 October 2002,29–30 October 2002
First group stage,Matchday 6,29 August 2002 (Monaco),12–13 November 2002,12–13 November 2002
Second group stage,Matchday 7,15 November 2002 (Geneva),26–27 November 2002,26–27 November 2002
Second group stage,Matchday 8,15 November 2002 (Geneva),10–11 December 2002,10–11 December 2002
Second group stage,Matchday 9,15 November 2002 (Geneva),18–19 February 2003,18–19 February 2003
Second group stage,Matchday 10,15 November 2002 (Geneva),25–26 February 2003,25–26 February 2003
Second group stage,Matchday 11,15 November 2002 (Geneva),11–12 March 2003,11–12 March 2003
Second group stage,Matchday 12,15 November 2002 (Geneva),18–19 March 2003,18–19 March 2003
Knockout phase,Quarter-finals,21 March 2003,8–9 April 2003,22–23 April 2003
Knockout phase,Semi-finals,21 March 2003,6–7 May 2003,13–14 May 2003
Knockout phase,Final,21 March 2003,"28 May 2003 at Old Trafford, Manchester","28 May 2003 at Old Trafford, Manchester"
