Rank[7],Player,Team,Goals,Minutes played
1,Fernando Morientes,Monaco,9,1026
2,Dado Pršo,Monaco,7,512
3,Roy Makaay,Bayern Munich,6,720
3,Walter Pandiani,Deportivo La Coruña,6,773
5,Didier Drogba,Marseille,5,515
5,Hakan Şükür,Galatasaray,5,539
5,Juninho,Lyon,5,799
5,Thierry Henry,Arsenal,5,888
9,David Trezeguet,Juventus,4,359
9,Wesley Sonck,Ajax,4,401
9,Ruud van Nistelrooy,Manchester United,4,596
9,Albert Luque,Deportivo La Coruña,4,640
9,Benni McCarthy,Porto,4,643
9,Ronaldo,Real Madrid,4,Top goalscorers
9,Andriy Shevchenko,Milan,4,765
9,Kaká,Milan,4,780
9,Ludovic Giuly,Monaco,4,783
9,Robert Pires,Arsenal,4,852
9,Frank Lampard,Chelsea,4,1035
