Rank[22][23],Player,Team,Goals,Minutes played
1,Lionel Messi,Barcelona,12,1098
2,Mario Gómez,Bayern Munich,8,634
2,Samuel Eto'o,Internazionale,8,937
4,Nicolas Anelka,Chelsea,7,600
5,Karim Benzema,Real Madrid,6,398
5,Roberto Soldado,Valencia,6,438
5,Cristiano Ronaldo,Real Madrid,6,1067
8,Pedro,Barcelona,5,812
8,Raúl,Schalke 04,5,1130
10,Eduardo,Shakhtar Donetsk,4,279
10,Marco Borriello,Roma,4,554
10,Javier Hernández,Manchester United,4,582
10,Peter Crouch,Tottenham Hotspur,4,604
10,Zlatan Ibrahimović,Milan,4,689
10,Gareth Bale,Tottenham Hotspur,4,770
10,Luiz Adriano,Shakhtar Donetsk,4,833
10,Wayne Rooney,Manchester United,4,839
10,Jefferson Farfán,Schalke 04,4,847
10,David Villa,Barcelona,4,954
