Pos.,Player,Team
GK,Thibaut Courtois,Atlético Madrid
GK,Manuel Neuer,Bayern Munich
DF,Diego Godín,Atlético Madrid
DF,Philipp Lahm,Bayern Munich
DF,Dani Carvajal,Real Madrid
DF,Pepe,Real Madrid
DF,Sergio Ramos,Real Madrid
MF,Gabi,Atlético Madrid
MF,Andrés Iniesta,Barcelona
MF,Toni Kroos,Bayern Munich
MF,Ángel Di María,Real Madrid
MF,Luka Modrić,Real Madrid
MF,Xabi Alonso,Real Madrid
FW,Marco Reus,Borussia Dortmund
FW,Diego Costa,Atlético Madrid
FW,Arjen Robben,Bayern Munich
FW,Zlatan Ibrahimović,Paris Saint-Germain
FW,Cristiano Ronaldo,Real Madrid
FW,,
