Pos.,Player,Team
GK,Gianluigi Buffon,Juventus
GK,Marc-André ter Stegen,Barcelona
DF,Gerard Piqué,Barcelona
DF,Javier Mascherano,Barcelona
DF,Jordi Alba,Barcelona
DF,Branislav Ivanović,Chelsea
DF,Giorgio Chiellini,Juventus
MF,Sergio Busquets,Barcelona
MF,Andrés Iniesta,Barcelona
MF,Toni Kroos,Real Madrid
MF,Ivan Rakitić,Barcelona
MF,Andrea Pirlo,Juventus
MF,Claudio Marchisio,Juventus
FW,Lionel Messi,Barcelona
FW,Neymar,Barcelona
FW,Luis Suárez,Barcelona
FW,Álvaro Morata,Juventus
FW,Cristiano Ronaldo,Real Madrid
