Pos.,Name,Team
GK,Jan Oblak,Atlético Madrid
GK,Manuel Neuer,Bayern Munich
DF,Diego Godín,Atlético Madrid
DF,Juanfran,Atlético Madrid
DF,Thiago Silva,Paris Saint-Germain
DF,Sergio Ramos,Real Madrid
DF,Marcelo,Real Madrid
MF,Gabi,Atlético Madrid
MF,Koke,Atlético Madrid
MF,Andrés Iniesta,Barcelona
MF,Toni Kroos,Real Madrid
MF,Luka Modrić,Real Madrid
FW,Antoine Griezmann,Atlético Madrid
FW,Luis Suárez,Barcelona
FW,Lionel Messi,Barcelona
FW,Robert Lewandowski,Bayern Munich
FW,Cristiano Ronaldo,Real Madrid
FW,Gareth Bale,Real Madrid
