Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Cristiano Ronaldo[4],Real Madrid,359
2,Lionel Messi,Barcelona,147
3,Paulo Dybala,Juventus,64
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Kylian Mbappé,Monaco,58
5,Robert Lewandowski,Bayern Munich,24
6,Neymar,Barcelona,21
7,Antoine Griezmann,Atlético Madrid,14
8,Gonzalo Higuaín,Juventus,8
9,Edinson Cavani,Paris Saint-Germain,6
10,Mario Mandžukić,Juventus,5
