Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Gianluigi Buffon[1],Juventus,342
2,Jan Oblak,Atlético Madrid,128
3,Manuel Neuer,Bayern Munich,105
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Keylor Navas,Real Madrid,67
5,Kasper Schmeichel,Leicester City,16
6,Marc-André ter Stegen,Barcelona,7
7,Danijel Subašić,Monaco,6
8,Anthony Lopes,Lyon,5
9,Roman Bürki,Borussia Dortmund,1
9,Iker Casillas,Porto,1
9,Ederson,Benfica,1
9,Hugo Lloris,Tottenham Hotspur,1
9,Pepe Reina,Napoli,1
