Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Sergio Ramos[2],Real Madrid,184
2,Raphaël Varane,Real Madrid,167
3,Marcelo,Real Madrid,145
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Giorgio Chiellini,Juventus,40
5,Dejan Lovren,Liverpool,37
6,Virgil van Dijk,Liverpool,24
7,Diego Godín,Atlético Madrid,15
8,Joshua Kimmich,Bayern Munich,14
9,Mats Hummels,Bayern Munich,13
10,Gerard Piqué,Barcelona,10
