Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Frenkie de Jong[3],Ajax,222
2,Christian Eriksen,Tottenham Hotspur,60
3,Jordan Henderson,Liverpool,59
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Bernardo Silva,Manchester City,52
5,Georginio Wijnaldum,Liverpool,48
6,Moussa Sissoko,Tottenham Hotspur,22
7,Raheem Sterling,Manchester City,21
8,Dušan Tadić,Ajax,20
8,Hakim Ziyech,Ajax,20
10,Sergio Busquets,Barcelona,19
10,Donny van de Beek,Ajax,19
