Rank,Player,Team(s),Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Kevin De Bruyne[3],Manchester City,171
2,Thiago,Bayern Munich,169
3,Thomas Müller,Bayern Munich,78
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Serge Gnabry,Bayern Munich,46
5,Marquinhos,Paris Saint-Germain,44
6,Joshua Kimmich,Bayern Munich,40
7,Leon Goretzka,Bayern Munich,39
8,Houssem Aouar,Lyon,22
9,Ángel Di María,Paris Saint-Germain,20
10,Marcel Sabitzer,RB Leipzig,18
