Pos.,Player,Team(s)
GK,Manuel Neuer,Bayern Munich
GK,Jan Oblak,Atlético Madrid
GK,Anthony Lopes,Lyon
DF,Alphonso Davies,Bayern Munich
DF,Joshua Kimmich,Bayern Munich
DF,Virgil van Dijk,Liverpool
DF,Dayot Upamecano,RB Leipzig
DF,Angeliño[note 3],Manchester City  RB Leipzig
DF,David Alaba,Bayern Munich
MF,Thiago,Bayern Munich
MF,Kevin De Bruyne,Manchester City
MF,Houssem Aouar,Lyon
MF,Leon Goretzka,Bayern Munich
MF,Marcel Sabitzer,RB Leipzig
MF,Marquinhos,Paris Saint-Germain
MF,Alejandro Gómez,Atalanta
MF,Thomas Müller,Bayern Munich
FW,Serge Gnabry,Bayern Munich
FW,Robert Lewandowski,Bayern Munich
FW,Kylian Mbappé,Paris Saint-Germain
FW,Neymar,Paris Saint-Germain
FW,Lionel Messi,Barcelona
FW,Raheem Sterling,Manchester City
