Rank[43],Player,Team(s),Goals,Minutes played
1,Robert Lewandowski,Bayern Munich,15,887
2,Erling Haaland[note 2],Red Bull Salzburg  Borussia Dortmund,10,554
3,Serge Gnabry,Bayern Munich,9,767
4,Harry Kane,Tottenham Hotspur,6,450
4,Dries Mertens,Napoli,6,586
4,Gabriel Jesus,Manchester City,6,590
4,Memphis Depay,Lyon,6,594
4,Raheem Sterling,Manchester City,6,599
9,Son Heung-min,Tottenham Hotspur,5,365
9,Mauro Icardi,Paris Saint-Germain,5,480
9,Josip Iličić,Atalanta,5,516
9,Lautaro Martínez,Inter Milan,5,521
9,Luis Suárez,Barcelona,5,567
9,Karim Benzema,Real Madrid,5,643
9,Kylian Mbappé,Paris Saint-Germain,5,652
