Rank,Player,Team(s),Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Rúben Dias[2],Manchester City,217
2,César Azpilicueta,Chelsea,115
3,Antonio Rüdiger,Chelsea,78
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Marquinhos,Paris Saint-Germain,78
5,Thiago Silva,Chelsea,59
6,Kyle Walker,Manchester City,35
7,Giorgio Chiellini,Juventus,18
8,John Stones,Manchester City,15
9,David Alaba,Bayern Munich,14
9,Leonardo Bonucci,Juventus,14
