Rank,Player,Team(s),Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Erling Haaland[4],Borussia Dortmund,202
2,Kylian Mbappé,Paris Saint-Germain,154
3,Robert Lewandowski,Bayern Munich,104
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Lionel Messi,Barcelona,76
5,Karim Benzema,Real Madrid,70
6,Neymar,Paris Saint-Germain,23
7,Kai Havertz,Chelsea,16
7,Raheem Sterling,Manchester City,16
9,Romelu Lukaku,Inter Milan,6
9,Mason Mount,Chelsea,6
