Entry round,Entry round.1,Teams,Teams.1,Teams.2,Teams.3,Unnamed: 6
Group stage,Group stage,Chelsea (4th)TH,Villarreal (EL),Atlético Madrid (1st),Real Madrid (2nd),
Group stage,Group stage,Barcelona (3rd),Sevilla (4th),Manchester City (1st),Manchester United (2nd),
Group stage,Group stage,Liverpool (3rd),Bayern Munich (1st),RB Leipzig (2nd),Borussia Dortmund (3rd),
Group stage,Group stage,VfL Wolfsburg (4th),Inter Milan (1st),Milan (2nd),Atalanta (3rd),
Group stage,Group stage,Juventus (4th),Lille (1st),Paris Saint-Germain (2nd),Sporting CP (1st),
Group stage,Group stage,Porto (2nd),Zenit Saint Petersburg (1st),Club Brugge (1st),Dynamo Kyiv (1st),
Group stage,Group stage,Ajax (1st),Beşiktaş (1st),,,
,,,,,,
Play-off round,CH,Red Bull Salzburg (1st),Brøndby (1st),,,
,,,,,,
Third qualifying round,CH,Rangers (1st),Slavia Prague (1st),,,
Third qualifying round,LP,Monaco (3rd),Benfica (3rd),Spartak Moscow (2nd),Genk (2nd),
Third qualifying round,LP,Shakhtar Donetsk (2nd),,,,
,,,,,,
Second qualifying round,CH,Omonia (1st),Young Boys (1st),Olympiacos (1st),Red Star Belgrade (1st),
Second qualifying round,LP,PSV Eindhoven (2nd),Galatasaray (2nd),Rapid Wien (2nd),Midtjylland (2nd),
Second qualifying round,LP,Celtic (2nd),Sparta Prague (2nd),,,
,,,,,,
First qualifying round,First qualifying round,Dinamo Zagreb (1st),Malmö FF (1st),Bodø/Glimt (1st),Maccabi Haifa (1st),
First qualifying round,First qualifying round,Kairat (1st),Shakhtyor Soligorsk (1st),Neftçi (1st),Ludogorets Razgrad (1st),
First qualifying round,First qualifying round,CFR Cluj (1st),Legia Warsaw (1st),Slovan Bratislava (1st),Mura (1st),
First qualifying round,First qualifying round,Ferencváros (1st),Fola Esch (1st),Žalgiris (1st),Alashkert (1st),
First qualifying round,First qualifying round,Riga (1st),Teuta (1st),Shkëndija (1st),Borac Banja Luka (1st),
First qualifying round,First qualifying round,Sheriff Tiraspol (1st),Shamrock Rovers (1st),HJK (1st),Dinamo Tbilisi (1st),
First qualifying round,First qualifying round,Hibernians (Abd-2nd)[Note MLT],Valur (Abd-1st)[Note ISL],Connah's Quay Nomads (1st),Linfield (1st),
First qualifying round,First qualifying round,Lincoln Red Imps (1st),Budućnost Podgorica (1st),Flora (1st),,
,,,,,,
Preliminary round,Preliminary round,Prishtina (1st),HB (1st),Inter Club d'Escaldes (1st),Folgore (1st),
