Entry round,Entry round.1,Teams,Teams.1,Teams.2,Teams.3
Group stage,Group stage,Manchester City (1st)TH,Sevilla (EL),Arsenal (2nd),Manchester United (3rd)
Group stage,Group stage,Newcastle United (4th),Barcelona (1st),Real Madrid (2nd),Atlético Madrid (3rd)
Group stage,Group stage,Real Sociedad (4th),Napoli (1st),Lazio (2nd),Inter Milan (3rd)
Group stage,Group stage,Milan (4th),Bayern Munich (1st),Borussia Dortmund (2nd),RB Leipzig (3rd)
Group stage,Group stage,Union Berlin (4th),Paris Saint-Germain (1st),Lens (2nd),Benfica (1st)
Group stage,Group stage,Porto (2nd),Feyenoord (1st),Red Bull Salzburg (1st),Celtic (1st)
Group stage,Group stage,Red Star Belgrade (1st),Shakhtar Donetsk (1st),,
,,,,,
Play-off round,CH,Antwerp (1st),Young Boys (1st),,
,,,,,
Third qualifying round,CH,AEK Athens (1st),Sparta Prague (1st),,
Third qualifying round,LP,Marseille (3rd),Braga (3rd),PSV Eindhoven (2nd),Sturm Graz (2nd)
Third qualifying round,LP,Rangers (2nd),TSC (2nd),,
,,,,,
Second qualifying round,CH,Molde (1st),Copenhagen (1st),Dinamo Zagreb (1st),Galatasaray (1st)
Second qualifying round,CH,Aris Limassol (1st),,,
Second qualifying round,LP,Dnipro-1 (2nd),Genk (2nd),Servette (2nd),Panathinaikos (2nd)
,,,,,
First qualifying round,First qualifying round,Maccabi Haifa (1st),BK Häcken (1st),Ludogorets Razgrad (1st),Farul Constanța (1st)
First qualifying round,First qualifying round,Qarabağ (1st),Ferencváros (1st),Raków Częstochowa (1st),Astana (1st)
First qualifying round,First qualifying round,Slovan Bratislava (1st),Olimpija Ljubljana (1st),BATE Borisov (3rd)[Note BLR],Sheriff Tiraspol (1st)
First qualifying round,First qualifying round,Žalgiris (1st),Zrinjski Mostar (1st),HJK (1st),Swift Hesperange (1st)
First qualifying round,First qualifying round,Valmiera (1st),Ballkani (1st),Shamrock Rovers (1st),Urartu (1st)
First qualifying round,First qualifying round,Larne (1st),Partizani (1st),KÍ (1st),Flora (1st)
First qualifying round,First qualifying round,Hamrun Spartans (1st),Dinamo Tbilisi (1st),Struga (1st),The New Saints (1st)
First qualifying round,First qualifying round,Lincoln Red Imps (1st),,,
,,,,,
Preliminary round,Preliminary round,Breiðablik (1st),Budućnost Podgorica (1st),Atlètic Club d'Escaldes (1st),Tre Penne (1st)
