0,1,2,3,4
Rank Association Coeff. Teams Notes 1  England 109.570 4 2  Spain 92.998 3  Germany 82.481 +1 (EPS) 4  Italy 81.926 +1 (EPS) 5  France 61.164 6  Netherlands 59.900 3 7  Portugal 56.216 2 8  Belgium 42.200 9  Scotland 36.400 10  Austria 34.000 11  Serbia 32.375 12  Turkey 32.100 13  Switzerland 31.675 14  Ukraine 29.500 15  Czech Republic 29.050 16  Norway 29.000 1 17  Denmark 27.825 18  Russia 26.215 0 [Note RUS] 19  Croatia 25.400 1,Rank Association Coeff. Teams Notes 20  Greece 25.225 1 21  Israel 25.000 22  Cyprus 24.475 23  Sweden 23.750 24  Poland 20.750 25  Hungary 20.625 26  Romania 20.500 27  Bulgaria 20.000 28  Slovakia 19.750 29  Azerbaijan 16.625 30  Kazakhstan 12.625 31  Slovenia 12.500 32  Moldova 12.250 33  Kosovo 11.041 34  Liechtenstein 11.000 0 [Note LIE] 35  Latvia 10.625 1 36  Republic of Ireland 10.375 37  Finland 10.200 38  Lithuania 10.000,Rank Association Coeff. Teams Notes 39  Armenia 9.875 1 40  Belarus 9.875 41  Bosnia and Herzegovina 9.750 42  Luxembourg 9.000 43  Faroe Islands 8.750 44  Northern Ireland 8.583 45  Malta 8.250 46  Georgia 8.000 47  Estonia 7.582 48  Iceland 7.250 49  Albania 6.250 50  Wales 6.166 51  Gibraltar 5.791 52  North Macedonia 5.500 53  Andorra 5.165 54  Montenegro 4.750 55  San Marino 1.999,,
Rank,Association,Coeff.,Teams,Notes
1,England,109.570,4,
2,Spain,92.998,4,
3,Germany,82.481,4,+1 (EPS)
4,Italy,81.926,4,+1 (EPS)
5,France,61.164,4,
6,Netherlands,59.900,3,
7,Portugal,56.216,2,
8,Belgium,42.200,2,
9,Scotland,36.400,2,
10,Austria,34.000,2,
11,Serbia,32.375,2,
12,Turkey,32.100,2,
13,Switzerland,31.675,2,
14,Ukraine,29.500,2,
15,Czech Republic,29.050,2,
16,Norway,29.000,1,
17,Denmark,27.825,1,
18,Russia,26.215,0,[Note RUS]
19,Croatia,25.400,1,
Rank,Association,Coeff.,Teams,Notes
20,Greece,25.225,1,
21,Israel,25.000,1,
22,Cyprus,24.475,1,
23,Sweden,23.750,1,
24,Poland,20.750,1,
25,Hungary,20.625,1,
26,Romania,20.500,1,
27,Bulgaria,20.000,1,
28,Slovakia,19.750,1,
29,Azerbaijan,16.625,1,
30,Kazakhstan,12.625,1,
31,Slovenia,12.500,1,
32,Moldova,12.250,1,
33,Kosovo,11.041,1,
34,Liechtenstein,11.000,0,[Note LIE]
35,Latvia,10.625,1,
36,Republic of Ireland,10.375,1,
37,Finland,10.200,1,
38,Lithuania,10.000,1,
Rank,Association,Coeff.,Teams,Notes
39,Armenia,9.875,1,
40,Belarus,9.875,1,
41,Bosnia and Herzegovina,9.750,1,
42,Luxembourg,9.000,1,
43,Faroe Islands,8.750,1,
44,Northern Ireland,8.583,1,
45,Malta,8.250,1,
46,Georgia,8.000,1,
47,Estonia,7.582,1,
48,Iceland,7.250,1,
49,Albania,6.250,1,
50,Wales,6.166,1,
51,Gibraltar,5.791,1,
52,North Macedonia,5.500,1,
53,Andorra,5.165,1,
54,Montenegro,4.750,1,
55,San Marino,1.999,1,
