Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knockout phase play-offs,Knockout phase play-offs,Knockout phase play-offs,Knockout phase play-offs,Knockout phase play-offs,,,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,,,Quarter-finals,Quarter-finals,Quarter-finals,Quarter-finals,Quarter-finals,,,Semi-finals,Semi-finals,Semi-finals,Semi-finals,Semi-finals,,,Final,Final,Final
,Knockout phase play-offs,Knockout phase play-offs,Knockout phase play-offs,Knockout phase play-offs,Knockout phase play-offs,,,Round of 16,Round of 16,Round of 16,Round of 16,Round of 16,,,Quarter-finals,Quarter-finals,Quarter-finals,Quarter-finals,Quarter-finals,,,Semi-finals,Semi-finals,Semi-finals,Semi-finals,Semi-finals,,,Final,Final,Final
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,Juventus,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,Juventus,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,PSV Eindhoven (a.e.t.),1,3,4,,,14,PSV Eindhoven,1,2,3,,,,,,,,,,,,,,,,,,,
,14,PSV Eindhoven (a.e.t.),1,3,4,,,14,PSV Eindhoven,1,2,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,Arsenal,7,2,9,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,Arsenal,7,2,9,,,3,Arsenal,3,2,5,,,,,,,,,,,,
,22,Manchester City,2,1,3,,,,,,,,,,3,Arsenal,3,2,5,,,,,,,,,,,,
,22,Manchester City,2,1,3,,,,,,,,,,11,Real Madrid,0,1,1,,,,,,,,,,,,
,11,Real Madrid,3,3,6,,,11,Real Madrid (p),2,0,2 (4),,,11,Real Madrid,0,1,1,,,,,,,,,,,,
,11,Real Madrid,3,3,6,,,11,Real Madrid (p),2,0,2 (4),,,,,,,,,,,,,,,,,,,
,,,,,,,,5,Atlético Madrid,1,1,2 (2),,,,,,,,,,,,,,,,,,,
,,,,,,,,5,Atlético Madrid,1,1,2 (2),,,,,,,,,,3,Arsenal,0,1,1,,,,,
,18,Brest,0,0,0,,,,,,,,,,,,,,,,,3,Arsenal,0,1,1,,,,,
,18,Brest,0,0,0,,,,,,,,,,,,,,,,,15,Paris Saint-Germain,1,2,3,,,,,
,15,Paris Saint-Germain,3,7,10,,,15,Paris Saint-Germain (p),0,1,1 (4),,,,,,,,,,15,Paris Saint-Germain,1,2,3,,,,,
