Unnamed: 0,Unnamed: 1,Teams entering in this round,Teams advancing from the previous round
First qualifying round  (28 teams),First qualifying round  (28 teams),28 champions from associations 26–28 and 30–55 (except Liechtenstein)[Note LIE],
Second qualifying round  (28 teams),Champions Path  (24 teams),"8 champions from associations 15–18 (except Russia)[Note RUS] and 20–24 2 champions from associations 25 and 29 as the teams with highest club coefficients, originally from the first qualifying round",14 winners from the first qualifying round
Second qualifying round  (28 teams),League Path  (4 teams),4 runners-up from associations 11–14,
Third qualifying round  (20 teams),Champions Path  (12 teams),,12 winners from the second qualifying round (Champions Path)
Third qualifying round  (20 teams),League Path  (8 teams),"2 runners-up from associations 8–9 1 third-placed team from association 6 1 fourth-placed team from association 5 2 runners-up from associations 10 and 15 as the teams with highest club coefficients, originally from the second qualifying round League Path",2 winners from the second qualifying round (League Path)
Play-off round  (14 teams),Champions Path  (10 teams),"3 champions from associations 11–13 1 champion from association 19 as the team with highest club coefficient, originally from the second qualifying round Champions Path",6 winners from the third qualifying round (Champions Path)
Play-off round  (14 teams),League Path  (4 teams),,4 winners from the third qualifying round (League Path)
League phase  (36 teams),League phase  (36 teams),"10 champions from associations 1–10 6 runners-up from associations 1–6 5 third-placed teams from associations 1–5 4 fourth-placed teams from associations 1–4 1 champion from association 14 as the team with the highest club coefficient, originally from the play-off round of the Champions Path 1 runner-up from association 7 as the team with the highest club coefficient, originally from the third qualifying round of the League Path 2 associations (Italy and Germany) with the highest coefficients from the previous season each received an extra berth",5 winners from the play-off round (Champions Path) 2 winners from the play-off round (League Path)
Knockout phase play-offs (16 teams),Knockout phase play-offs (16 teams),,16 teams ranked 9–24 from the league phase
Round of 16 (16 teams),Round of 16 (16 teams),,8 teams ranked 1–8 from the league phase 8 winners from the knockout phase play-offs
