Entry round,Entry round.1,Teams,Teams.1,Teams.2,Teams.3
League phase,League phase,Real Madrid (1st)TH,Atalanta (4th)EL,Manchester City (1st),Arsenal (2nd)
League phase,League phase,Liverpool (3rd),Aston Villa (4th),Barcelona (2nd),Girona (3rd)
League phase,League phase,Atlético Madrid (4th),Bayer Leverkusen (1st),VfB Stuttgart (2nd),Bayern Munich (3rd)
League phase,League phase,RB Leipzig (4th),Borussia Dortmund (5th)EPS,Inter Milan (1st),Milan (2nd)
League phase,League phase,Juventus (3rd),Bologna (5th)EPS,Paris Saint-Germain (1st),Monaco (2nd)
League phase,League phase,Brest (3rd),PSV Eindhoven (1st),Feyenoord (2nd),Sporting CP (1st)
League phase,League phase,Benfica (2nd),Club Brugge (1st),Celtic (1st),Sturm Graz (1st)
League phase,League phase,Shakhtar Donetsk (1st),,,
,,,,,
Play-off round,CH,Red Star Belgrade (1st),Galatasaray (1st),Young Boys (1st),Dinamo Zagreb (1st)
,,,,,
Third qualifying round,LP,Lille (4th),Twente (3rd),Union Saint-Gilloise (2nd),Rangers (2nd)
Third qualifying round,LP,Red Bull Salzburg (2nd),Slavia Prague (2nd),,
,,,,,
Second qualifying round,CH,Sparta Prague (1st),Bodø/Glimt (1st),Midtjylland (1st),PAOK (1st)
Second qualifying round,CH,Maccabi Tel Aviv (1st),APOEL (1st),Malmö FF (1st),Jagiellonia Białystok (1st)
Second qualifying round,CH,Ferencváros (1st),Qarabağ (1st),,
Second qualifying round,LP,Partizan (2nd),Fenerbahçe (2nd),Lugano (2nd),Dynamo Kyiv (2nd)
,,,,,
First qualifying round,CH,FCSB (1st),Ludogorets Razgrad (1st),Slovan Bratislava (1st),Ordabasy (1st)
First qualifying round,CH,Celje (1st),Petrocub Hîncești (1st),Ballkani (1st),RFS (1st)
First qualifying round,CH,Shamrock Rovers (1st),HJK (1st),Panevėžys (1st),Pyunik (1st)
First qualifying round,CH,Dinamo Minsk (1st),Borac Banja Luka (1st),Differdange 03 (1st),KÍ (1st)
First qualifying round,CH,Larne (1st),Hamrun Spartans (1st),Dinamo Batumi (1st),Flora (1st)
First qualifying round,CH,Víkingur Reykjavík (1st),Egnatia (1st),The New Saints (1st),Lincoln Red Imps (1st)
First qualifying round,CH,Struga (1st),UE Santa Coloma (1st),Dečić (1st),Virtus (1st)
