Home team,Score,Away team
PSV Eindhoven,4–0,Girona
Slovan Bratislava,1–4,Dinamo Zagreb
Bologna,0–1,Monaco
Borussia Dortmund,1–0,Sturm Graz
Celtic,3–1,RB Leipzig
Liverpool,4–0,Bayer Leverkusen
Lille,1–1,Juventus
Real Madrid,1–3,Milan
Sporting CP,4–1,Manchester City
Club Brugge,1–0,Aston Villa
Shakhtar Donetsk,2–1,Young Boys
Sparta Prague,1–2,Brest
Inter Milan,1–0,Arsenal
Feyenoord,1–3,Red Bull Salzburg
Red Star Belgrade,2–5,Barcelona
Paris Saint-Germain,1–2,Atlético Madrid
VfB Stuttgart,0–2,Atalanta
Bayern Munich,1–0,Benfica
