Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,18 June 2024,9–10 July 2024,16–17 July 2024
Qualifying,Second qualifying round,19 June 2024,23–24 July 2024,30–31 July 2024
Qualifying,Third qualifying round,22 July 2024,6–7 August 2024,13 August 2024
Play-offs,Play-off round,5 August 2024,20–21 August 2024,27–28 August 2024
League phase,Matchday 1,29 August 2024,17–19 September 2024,17–19 September 2024
League phase,Matchday 2,29 August 2024,1–2 October 2024,1–2 October 2024
League phase,Matchday 3,29 August 2024,22–23 October 2024,22–23 October 2024
League phase,Matchday 4,29 August 2024,5–6 November 2024,5–6 November 2024
League phase,Matchday 5,29 August 2024,26–27 November 2024,26–27 November 2024
League phase,Matchday 6,29 August 2024,10–11 December 2024,10–11 December 2024
League phase,Matchday 7,29 August 2024,21–22 January 2025,21–22 January 2025
League phase,Matchday 8,29 August 2024,29 January 2025,29 January 2025
Knockout phase,Knockout phase play-offs,31 January 2025,11–12 February 2025,18–19 February 2025
Knockout phase,Round of 16,21 February 2025,4–5 March 2025,11–12 March 2025
Knockout phase,Quarter-finals,21 February 2025,8–9 April 2025,15–16 April 2025
Knockout phase,Semi-finals,21 February 2025,29–30 April 2025,6–7 May 2025
Knockout phase,Final,No draw,"31 May 2025 at Allianz Arena, Munich","31 May 2025 at Allianz Arena, Munich"
