Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Champions Path,Champions Path,Champions Path,Champions Path,Champions Path
Qarabağ,8–4,Ludogorets Razgrad,1–2,7–2 (a.e.t.)
Slovan Bratislava,2–0,APOEL,2–0,0–0
Sparta Prague,4–3,FCSB,1–1,3–2
Malmö FF,6–5,PAOK,2–2,4–3 (a.e.t.)
Midtjylland,3–1,Ferencváros,2–0,1–1
Jagiellonia Białystok,1–5,Bodø/Glimt,0–1,1–4
League Path,League Path,League Path,League Path,League Path
Slavia Prague,4–1,Union Saint-Gilloise,3–1,1–0
Lille,3–2,Fenerbahçe,2–1,1–1 (a.e.t.)
Dynamo Kyiv,3–1,Rangers,1–1,2–0
Red Bull Salzburg,5–4,Twente,2–1,3–3
